matchNumber,team1Short,team2Short,startTimeUtc,stage
1,KKR,RCB,2026-03-22T14:00:00.000Z,league
2,SRH,RR,2026-03-23T10:00:00.000Z,league
3,MI,CSK,2026-03-23T14:00:00.000Z,league
4,LSG,DC,2026-03-24T14:00:00.000Z,league
5,PBKS,GT,2026-03-25T14:00:00.000Z,league
6,RR,KKR,2026-03-26T14:00:00.000Z,league
7,SRH,LSG,2026-03-27T14:00:00.000Z,league
8,RCB,CSK,2026-03-28T14:00:00.000Z,league
9,GT,MI,2026-03-29T14:00:00.000Z,league
10,SRH,DC,2026-03-30T10:00:00.000Z,league
11,RR,CSK,2026-03-30T14:00:00.000Z,league
12,KKR,MI,2026-03-31T14:00:00.000Z,league
13,LSG,PBKS,2026-04-01T14:00:00.000Z,league
14,RCB,GT,2026-04-02T14:00:00.000Z,league
15,KKR,SRH,2026-04-03T14:00:00.000Z,league
16,LSG,MI,2026-04-04T14:00:00.000Z,league
17,DC,CSK,2026-04-05T10:00:00.000Z,league
18,RR,PBKS,2026-04-05T14:00:00.000Z,league
19,SRH,GT,2026-04-06T14:00:00.000Z,league
20,RCB,MI,2026-04-07T14:00:00.000Z,league
21,LSG,KKR,2026-04-08T10:00:00.000Z,league
22,PBKS,CSK,2026-04-08T14:00:00.000Z,league
23,GT,RR,2026-04-09T14:00:00.000Z,league
24,RCB,DC,2026-04-10T14:00:00.000Z,league
25,CSK,KKR,2026-04-11T14:00:00.000Z,league
26,GT,LSG,2026-04-12T10:00:00.000Z,league
27,PBKS,SRH,2026-04-12T14:00:00.000Z,league
28,RR,RCB,2026-04-13T10:00:00.000Z,league
29,MI,DC,2026-04-13T14:00:00.000Z,league
30,LSG,CSK,2026-04-14T14:00:00.000Z,league
31,PBKS,KKR,2026-04-15T14:00:00.000Z,league
32,DC,RR,2026-04-16T14:00:00.000Z,league
33,SRH,MI,2026-04-17T14:00:00.000Z,league
34,RCB,PBKS,2026-04-18T14:00:00.000Z,league
35,DC,GT,2026-04-19T10:00:00.000Z,league
36,LSG,RR,2026-04-19T14:00:00.000Z,league
37,PBKS,RCB,2026-04-20T10:00:00.000Z,league
38,CSK,MI,2026-04-20T14:00:00.000Z,league
39,GT,KKR,2026-04-21T14:00:00.000Z,league
40,LSG,DC,2026-04-22T14:00:00.000Z,league
41,SRH,MI,2026-04-23T14:00:00.000Z,league
42,RCB,RR,2026-04-24T14:00:00.000Z,league
43,CSK,SRH,2026-04-25T14:00:00.000Z,league
44,PBKS,KKR,2026-04-26T14:00:00.000Z,league
45,MI,LSG,2026-04-27T10:00:00.000Z,league
46,DC,RCB,2026-04-27T14:00:00.000Z,league
47,GT,RR,2026-04-28T14:00:00.000Z,league
48,KKR,DC,2026-04-29T14:00:00.000Z,league
49,CSK,PBKS,2026-04-30T14:00:00.000Z,league
50,MI,RR,2026-05-01T14:00:00.000Z,league
51,GT,SRH,2026-05-02T14:00:00.000Z,league
52,RCB,CSK,2026-05-03T14:00:00.000Z,league
53,KKR,RR,2026-05-04T10:00:00.000Z,league
54,PBKS,LSG,2026-05-04T14:00:00.000Z,league
55,DC,SRH,2026-05-05T14:00:00.000Z,league
56,MI,GT,2026-05-06T14:00:00.000Z,league
57,KKR,CSK,2026-05-07T14:00:00.000Z,league
58,RCB,KKR,2026-05-17T14:00:00.000Z,league
59,PBKS,RR,2026-05-18T10:00:00.000Z,league
60,DC,GT,2026-05-18T14:00:00.000Z,league
61,LSG,SRH,2026-05-19T14:00:00.000Z,league
62,CSK,RR,2026-05-20T14:00:00.000Z,league
63,MI,DC,2026-05-21T14:00:00.000Z,league
64,LSG,GT,2026-05-22T14:00:00.000Z,league
65,SRH,RCB,2026-05-23T14:00:00.000Z,league
66,PBKS,DC,2026-05-24T14:00:00.000Z,league
67,CSK,GT,2026-05-25T10:00:00.000Z,league
68,SRH,KKR,2026-05-25T14:00:00.000Z,league
69,MI,PBKS,2026-05-26T14:00:00.000Z,league
70,LSG,RCB,2026-05-27T14:00:00.000Z,league
71,PBKS,RCB,2026-05-29T14:00:00.000Z,qualifier_1
72,MI,GT,2026-05-30T14:00:00.000Z,eliminator
73,MI,PBKS,2026-06-01T14:00:00.000Z,qualifier_2
74,RCB,PBKS,2026-06-03T14:00:00.000Z,final
